7:616,650,58,8,81,29,302,866,76,70
18:58,866,76,17,302,8,29,654,84,616
19:29,58,8,654,17,84,616,866,302,76
36:29,616,17,8,650,654,76,84,58,866
37:84,616,654,58,8,302,29,866,76,17
41:654,650,76,616,17,866,81,29,302,58
42:58,17,650,29,654,84,76,81,866,302
43:58,654,866,76,8,84,29,302,616,17
44:866,8,84,81,70,76,518,616,564,302
45:76,616,17,29,866,58,302,654,8,84
46:542,76,81,866,58,8,616,650,302,564
59:650,29,224,616,654,76,81,58,564,542
60:84,76,70,650,58,8,29,616,81,302
69:81,650,58,866,29,224,76,302,654,564
70:84,8,616,81,58,76,29,302,654,650
94:616,58,29,302,17,654,866,650,76,84
106:84,866,518,81,226,29,8,1102,70,224
115:518,866,29,8,224,354,81,58,226,138
116:8,616,654,76,84,58,866,17,302,29
142:1102,301,866,29,84,361,6,81,58,8
143:76,866,654,302,84,8,17,29,58,616
148:17,866,76,58,302,654,8,616,29,84
150:81,654,29,866,70,17,650,8,302,84
156:84,616,81,29,58,302,76,866,8,650
161:616,650,224,84,866,29,76,564,81,70
171:302,518,84,8,564,81,866,70,76,650
172:58,84,70,76,518,8,81,866,654,564
174:302,76,58,616,17,8,29,654,866,84
177:29,866,84,58,17,76,654,650,616,8
196:650,76,866,542,81,564,616,354,29,224
202:302,518,1102,8,542,354,138,224,58,866
211:616,17,84,76,8,866,654,29,58,302
217:616,866,76,302,58,8,29,654,84,17
220:76,866,58,29,302,616,8,84,17,654
223:76,8,654,616,866,29,84,650,302,58
224:654,76,29,302,58,8,866,17,84,616
225:654,84,8,302,81,616,866,29,76,58
228:654,8,76,302,84,29,17,616,650,58
229:361,518,15,58,508,84,81,866,736,1102
231:76,29,84,866,58,302,616,8,81,654
232:84,76,29,302,17,654,58,616,8,866
238:302,84,866,76,8,29,616,17,654,58
241:616,84,70,76,58,650,866,29,564,81
245:866,654,616,8,84,76,17,29,58,302
249:8,654,58,76,84,302,650,29,17,616
250:616,8,58,29,302,866,654,70,84,81
253:8,866,84,616,17,58,654,76,302,29
257:226,508,542,866,81,70,354,84,17,1102
272:616,76,58,29,8,866,654,650,70,81
273:866,224,70,17,654,650,81,354,302,76
288:70,866,58,17,81,616,29,84,650,76
290:17,302,8,654,616,84,866,76,58,29
291:654,866,58,650,76,302,84,616,29,17
292:564,866,542,58,70,654,224,616,81,76
294:542,564,76,224,29,8,302,866,70,17
328:29,616,654,866,8,650,84,76,58,302
331:76,58,8,654,616,650,17,84,302,866
345:8,654,29,616,866,84,76,302,17,58
361:29,58,70,650,81,616,518,8,564,76
376:76,866,650,616,84,17,302,29,8,58
384:76,866,84,17,29,8,654,302,616,650
401:616,866,650,70,354,58,81,29,542,226
402:84,654,518,542,8,302,81,866,70,564
410:58,76,866,302,29,8,616,654,17,84
448:58,616,866,8,84,76,650,654,302,29
449:8,866,84,654,58,17,29,302,616,650
450:29,224,866,1102,302,654,76,354,81,84
452:8,866,654,302,616,29,84,17,76,58
476:76,29,17,84,8,866,616,654,58,302
488:866,17,564,302,81,29,58,616,76,70
490:70,29,650,17,76,866,224,81,354,302
494:616,29,84,866,58,8,17,654,81,70
500:654,8,866,616,17,29,84,76,302,58
514:302,654,866,616,76,29,8,58,84,17
525:302,70,29,866,616,84,564,654,650,58
535:29,70,17,81,564,8,650,866,76,518
536:76,866,29,84,58,654,302,650,616,8
538:58,81,76,650,29,302,866,654,616,70
539:81,58,17,29,866,654,564,84,70,8
564:564,224,650,81,76,508,1102,8,84,518
582:81,29,518,84,70,564,76,866,616,354
585:58,866,302,8,616,76,84,29,17,654
590:8,29,70,518,81,654,564,650,866,76
601:8,58,302,654,616,17,866,84,76,29
618:76,84,17,866,302,29,616,58,654,8
624:302,654,866,8,58,29,76,616,84,17
627:8,654,17,58,866,302,76,29,84,616
628:29,616,302,84,654,58,76,17,866,8
632:654,8,58,616,84,17,76,302,29,866
633:650,654,84,76,866,29,58,302,8,81
634:84,58,17,8,76,654,29,616,866,302
646:76,8,58,302,650,84,616,29,654,17
666:8,58,654,616,76,866,29,84,302,17
667:866,654,8,302,84,17,76,616,58,29
669:17,654,302,8,866,84,616,58,29,76
678:58,17,650,866,84,654,29,302,8,76
680:8,17,29,58,84,654,650,616,81,866
681:654,616,29,17,866,76,302,84,8,58
682:58,76,866,654,29,17,302,84,616,8
683:58,76,616,654,302,866,29,8,17,84
684:8,654,58,84,29,616,76,302,866,17
715:616,84,302,866,17,8,654,76,29,58
716:866,17,8,76,654,616,58,84,302,29
741:8,76,866,616,654,58,29,84,17,302
750:354,866,138,76,8,226,564,301,81,1102
754:866,302,654,17,84,76,81,58,29,616
756:8,81,650,76,70,84,564,866,224,616
757:654,58,84,29,616,8,17,302,866,76
758:866,654,76,84,58,29,302,616,8,17
763:650,84,564,29,81,518,17,866,70,8
773:76,8,866,654,58,302,17,29,84,616
774:76,866,17,650,564,8,302,84,518,81
775:224,542,354,70,866,76,81,564,518,58
782:76,302,29,58,866,616,84,650,654,8
784:542,650,76,84,17,224,29,302,866,518
793:866,518,224,29,76,8,654,564,616,81
803:29,302,58,866,8,654,76,84,17,616
813:616,650,70,654,866,29,302,84,17,81
815:58,564,84,29,76,866,8,302,654,70
817:58,29,8,616,81,564,76,866,650,70
818:76,654,8,29,84,616,866,17,58,302
823:84,58,616,8,302,29,866,76,654,17
825:866,70,81,650,58,654,8,29,616,518
833:58,354,564,866,302,224,76,70,84,8
835:29,76,866,84,654,650,302,58,81,616
838:866,654,8,17,616,58,84,29,302,76
844:226,542,29,76,70,58,354,518,8,81
850:29,8,616,302,654,58,17,84,76,866
856:361,6,226,899,669,301,138,866,70,327
857:866,70,302,81,518,8,84,76,564,650
874:29,81,84,226,518,70,1102,58,302,76
891:302,17,29,650,616,654,8,58,76,84
899:8,616,654,58,76,17,84,866,302,29
900:616,302,654,866,84,8,17,76,29,58
911:8,84,866,302,29,654,76,58,616,650
918:654,866,8,650,17,29,616,58,302,84
925:866,58,84,654,29,76,616,8,17,302
926:564,8,84,81,76,650,58,302,70,866
937:29,76,302,866,58,70,81,654,616,650
949:58,654,29,302,8,616,84,17,76,866
964:8,84,616,302,17,866,76,58,654,29
970:58,29,866,76,302,17,84,616,654,8
977:17,301,508,81,518,29,354,650,736,224
981:76,8,654,866,29,616,58,302,84,17
982:8,76,866,58,616,84,29,654,17,302
984:58,616,84,29,76,866,8,17,654,650
992:76,84,58,866,302,29,8,616,654,17
993:58,81,564,76,616,224,518,654,29,84
998:866,84,76,302,654,650,616,58,17,29
1000:81,866,70,224,29,8,58,84,17,518
1007:29,866,81,8,70,17,564,654,84,518
1027:58,29,8,302,654,866,17,76,84,616
1028:650,17,58,76,29,81,866,616,302,70
1044:84,654,302,866,76,58,29,8,616,17
1045:58,8,81,70,76,564,84,866,17,650
1049:616,654,8,84,866,17,58,302,29,76
1068:616,866,76,302,29,17,654,84,58,8
1069:70,654,866,518,29,84,81,76,8,564
1070:58,564,76,84,866,81,17,70,650,616
1082:650,70,1102,518,81,84,542,226,224,866
1083:654,58,616,17,8,84,76,302,29,866
1088:29,866,84,17,616,58,654,8,650,302
1094:224,508,81,58,616,736,70,301,226,29
1116:650,654,616,84,866,58,76,8,29,302
1121:29,654,58,302,76,8,84,616,17,866
1125:866,58,84,76,616,29,650,302,564,654
1127:84,76,29,866,302,616,8,17,58,654
1132:58,17,29,84,76,866,654,302,8,650
1133:8,518,226,76,81,1102,224,508,650,354
1140:8,58,866,616,84,29,81,76,70,302
1141:8,654,17,84,616,76,58,866,302,29
